LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Parsed,Hospital,Prompt,Distressed
NuExtract:4B,10,52.0,6,10,38.46153846153847,16.129032258064516,22.72727272727273,14.705882352941178,True,NYGH,None,False
NuExtract:4B,12,28.0,6,8,30.76923076923077,22.22222222222222,25.806451612903224,19.047619047619047,True,MtSinai,None,False
NuExtract:4B,12,29.0,6,9,33.33333333333333,23.684210526315788,27.69230769230769,20.454545454545457,True,Kingston,None,False
NuExtract:4B,12,38.0,9,7,25.0,15.555555555555555,19.17808219178082,12.962962962962962,True,Kingston,None,True
NuExtract:4B,24,47.0,9,11,25.0,18.96551724137931,21.56862745098039,16.417910447761194,True,CHEO,None,True
NuExtract:4B,9,28.0,6,10,40.0,26.31578947368421,31.746031746031747,22.727272727272727,True,NYGH,None,False
NuExtract:4B,13,48.0,6,10,34.48275862068966,17.24137931034483,22.98850574712644,15.625,True,Kingston,None,False
NuExtract:4B,15,42.0,8,4,14.814814814814813,8.695652173913043,10.95890410958904,7.4074074074074066,True,Hamilton,None,True
NuExtract:4B,11,37.0,14.0,17.0,40.476190476190474,31.48148148148148,35.416666666666664,26.153846153846157,True,SickKids,None,False
NuExtract:4B,14,30.0,4,8,30.76923076923077,21.052631578947366,25.0,19.047619047619047,True,LHSC,None,True
NuExtract:4B,11,50.0,10.0,6.0,22.22222222222222,10.714285714285714,14.457831325301203,9.230769230769232,True,NYGH,None,True
NuExtract:4B,16,30.0,6,4,15.384615384615385,11.76470588235294,13.333333333333332,10.0,True,LHSC,None,True
NuExtract:4B,26,44.0,10,20,35.714285714285715,31.25,33.333333333333336,27.027027027027028,True,LHSC,None,False
NuExtract:4B,12,22.0,9,7,25.0,24.137931034482758,24.561403508771928,18.421052631578945,True,Kingston,None,False
NuExtract:4B,12,44.0,6,8,30.76923076923077,15.384615384615385,20.512820512820515,13.793103448275861,True,MtSinai,None,False
NuExtract:4B,9,21.0,5,12,46.15384615384615,36.36363636363637,40.67796610169492,31.57894736842105,True,NYGH,None,False
NuExtract:4B,12,38.0,3,24,61.53846153846154,38.70967741935484,47.524752475247524,36.92307692307693,True,Hamilton,None,False
NuExtract:4B,16,58.0,3,7,26.923076923076923,10.76923076923077,15.384615384615385,10.294117647058822,True,LHSC,None,True
NuExtract:4B,12,25.0,5,8,32.0,24.242424242424242,27.586206896551722,21.052631578947366,True,MtSinai,None,False
NuExtract:4B,10,34.0,8,10,35.714285714285715,22.727272727272727,27.77777777777778,19.230769230769234,True,SickKids,None,False
NuExtract:4B,11,39.0,3,14,50.0,26.41509433962264,34.567901234567906,25.0,True,Hamilton,None,False
NuExtract:4B,12,27.0,11,6,20.689655172413794,18.181818181818183,19.35483870967742,13.636363636363635,True,MtSinai,None,True
NuExtract:4B,10,32.0,4,12,46.15384615384615,27.27272727272727,34.285714285714285,25.0,True,Hamilton,None,False
