model,field
Unknown,analysis_type
Unknown,chromosome
Unknown,date_collected
Unknown,gene_symbol
Unknown,gene_symbol
Unknown,hgvsg
Unknown,mafac
Unknown,mafan
Unknown,mega_hgvs
Unknown,report_type
Unknown,testing_context
Unknown,testing_laboratory
Unknown,transcript_id
Unknown,variant_id
Unknown,analysis_type
Unknown,chromosome
Unknown,gene_symbol
Unknown,gene_symbol
Unknown,hgvsg
Unknown,mafac
Unknown,mafaf
Unknown,mafan
Unknown,mega_hgvs
Unknown,reference_genome
Unknown,report_type
Unknown,sample_type
Unknown,sequencing_scope
Unknown,testing_laboratory
Unknown,type
Unknown,variant_id
Unknown,analysis_type
Unknown,chromosome
Unknown,date_verified
Unknown,exon
Unknown,gene_symbol
Unknown,gene_symbol
Unknown,hgvsg
Unknown,mafaf
Unknown,ordering_clinic
Unknown,reference_genome
Unknown,report_type
Unknown,sequencing_scope
Unknown,testing_laboratory
Unknown,variant_id
Unknown,zygosity
Unknown,analysis_type
Unknown,chromosome
Unknown,exon
Unknown,gene_symbol
Unknown,gene_symbol
Unknown,hgvsg
Unknown,mafaf
Unknown,ordering_clinic
Unknown,reference_genome
Unknown,report_type
Unknown,sequencing_scope
Unknown,testing_laboratory
Unknown,variant_id
Unknown,zygosity
Unknown,analysis_type
Unknown,chromosome
Unknown,exon
Unknown,gene_symbol
Unknown,gene_symbol
Unknown,hgvsg
Unknown,mafac
Unknown,mafaf
Unknown,mega_hgvs
Unknown,reference_genome
Unknown,report_type
Unknown,sample_type
Unknown,sequencing_scope
Unknown,testing_context
Unknown,testing_laboratory
Unknown,transcript_id
Unknown,variant_id
Unknown,analysis_type
Unknown,chromosome
Unknown,date_collected
Unknown,gene_symbol
Unknown,gene_symbol
Unknown,hgvsg
Unknown,mafac
Unknown,mafan
Unknown,mega_hgvs
Unknown,num_variants
Unknown,report_type
Unknown,testing_context
Unknown,testing_laboratory
Unknown,variant_id
Unknown,analysis_type
Unknown,chromosome
Unknown,exon
Unknown,gene_symbol
Unknown,gene_symbol
Unknown,hgvsg
Unknown,mafac
Unknown,ordering_clinic
Unknown,reference_genome
Unknown,report_type
Unknown,sequencing_scope
Unknown,testing_laboratory
Unknown,variant_id
Unknown,zygosity
Unknown,analysis_type
Unknown,chromosome
Unknown,date_collected
Unknown,date_verified
Unknown,gene_symbol
Unknown,gene_symbol
Unknown,hgvsg
Unknown,mafac
Unknown,mafaf
Unknown,mafan
Unknown,mega_hgvs
Unknown,ordering_clinic
Unknown,reference_genome
Unknown,report_type
Unknown,sequencing_scope
Unknown,testing_context
Unknown,testing_laboratory
Unknown,variant_id
Unknown,analysis_type
Unknown,gene_symbol
Unknown,gene_symbol
Unknown,mafaf
Unknown,num_variants
Unknown,ordering_clinic
Unknown,report_type
Unknown,sample_type
Unknown,sequencing_scope
Unknown,testing_context
